Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60SdxE8apGAxMiRrpbmLY0,"Lucky You (feat. Joyner Lucas)","Kamikaze","Eminem;Joyner Lucas",2018-08-31,244679,72,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,4
spotify:track:66EQzGelnmpiI1a1dhrjdE,"4getu","Greynotes","Psalm Trees",2018-10-17,75949,2,false,,1970-01-01T00:00:00Z,"lo-fi beats,lo-fi hip hop,lo-fi,jazz beats","Poets Corner Ltd.",0.731,0.363,1,-13.97,1,0.0879,0.936,0.904,0.372,0.595,78.99,4
spotify:track:6r027Faonff84hxFMjMbIH,"Rap God","Rap God","Eminem",2013-01-01,363973,59,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.708,0.849,7,-2.666,1,0.324,0.38,0,0.849,0.649,148.102,4
spotify:track:26qTfV9DiLTT5fBXgvXfFx,"Your Soul","Warm","Forrest.;Biskwiq",2018-07-01,178285,49,false,,1970-01-01T00:00:00Z,"","Houseboat",0.846,0.851,9,-3.821,1,0.372,0.0244,0,0.153,0.822,139.966,4
spotify:track:2oHDXaIgFkD41mkocZKMKC,"Rocketman (feat. Atlas & Lando!)","Rocketman (feat. Atlas & Lando!)","AL-X The Great;Atlas;lando!",2016-11-30,173557,37,true,,1970-01-01T00:00:00Z,"","AL-X Recordings",0.797,0.518,7,-12.625,1,0.281,0.282,0,0.0954,0.717,139.988,4
spotify:track:3yfqSUWxFvZELEM4PmlwIR,"The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,87,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
spotify:track:6BJv4dFNXQJD7XeyaEOLYs,"Nice Colors","Nice Colors","khai dreams;Atwood",2018-05-17,184252,0,true,,1970-01-01T00:00:00Z,"","Khai Dreams",0.818,0.679,4,-5.695,0,0.157,0.359,0,0.112,0.525,136.117,4
spotify:track:7Ie9W94M7OjPoZVV216Xus,"Not Afraid","Recovery","Eminem",2010-06-18,248133,81,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,5
spotify:track:4RHyIzFRht2z17XeHB9dsF,"Through and Through","Through and Through","khai dreams",2017-12-04,113684,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.851,0.424,6,-9.307,1,0.0463,0.383,0,0.0843,0.591,94.927,4
spotify:track:1jo3TwNGCXfNdB5uba3ZVv,"Killshot","Killshot","Eminem",2018-09-19,253579,71,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.893,0.651,0,-8.647,0,0.367,0.0995,0,0.371,0.6,105.835,4
spotify:track:0Z1bYJWf48NF0kaqMSNbJk,"Haunt Me","Haunt Me","Samsa",2017-01-31,260884,44,true,,1970-01-01T00:00:00Z,"","2020 Samsa, under exclusive license to an Atlanta Music Company, LLC",0.739,0.783,1,-7.611,0,0.293,0.253,0,0.14,0.823,84.962,4
spotify:track:5NeyFI5F9wN4JPrLeJs4lE,"Vinyl","Vinyl","love-sadKID;Forrest.;atlas",2018-08-18,206608,0,false,,1970-01-01T00:00:00Z,"","Love-Sadkid",0.798,0.419,9,-11.337,1,0.0416,0.358,0,0.14,0.696,114.981,4
spotify:track:4WoDLftHxkfW3K1tAPVyXE,"kinda sorta","kinda sorta","guardin",2020-08-28,134482,0,true,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.41,0.856,7,-2.613,1,0.044,0.105,0.0000559,0.195,0.147,86.642,4
spotify:track:5Z01UMMf7V1o0MzF86s6WJ,"Lose Yourself","Curtain Call: The Hits (Deluxe Edition)","Eminem",2005-12-06,326466,81,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,4
spotify:track:1cS0TgbR263ey9jn0MwD2s,"River (feat. Ed Sheeran)","Revival","Eminem;Ed Sheeran",2017-12-15,221013,74,true,,1970-01-01T00:00:00Z,"rap,hip hop,soft pop","Eminem Catalog PS",0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,4
spotify:track:3QYbhuZkxwoOMGzkllibzy,"i wonder","creature pt. 1","guardin",2019-09-20,116379,0,true,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.791,0.676,2,-5.006,1,0.0427,0.106,0.137,0.103,0.643,164.98,4
spotify:track:30Tn4kOvy73lYzp4mMFIKH,"Anthropocene","Anthropocene","Samsa",2016-12-11,256104,40,true,,1970-01-01T00:00:00Z,"","2020 Samsa, under exclusive license to an Atlanta Music Company, LLC",0.592,0.765,7,-8.91,1,0.435,0.297,0,0.111,0.705,84.855,4
spotify:track:4xkOaSrkexMciUUogZKVTS,"Till I Collapse","The Eminem Show","Eminem;Nate Dogg",2002-05-26,297786,86,true,,1970-01-01T00:00:00Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop","Eminem Catalog PS",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4
spotify:track:3yrSvpt2l1xhsV9Em88Pul,"Brown Eyed Girl","Blowin' Your Mind!","Van Morrison",1967-09,183306,19,false,,1970-01-01T00:00:00Z,"","Columbia/Legacy",0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,4
spotify:track:5awvelCGpDQHwgZem0ira9,"Lately","Lately","Forrest.;Biskwiq;Ryce",2018-11-01,207000,46,false,,1970-01-01T00:00:00Z,"","Houseboat",0.718,0.632,0,-4.011,1,0.145,0.213,0.0000128,0.283,0.859,160.039,4
spotify:track:26MiQlP8DL99PvR2dknfCr,"backup","backup","guardin",2020-01-03,165014,0,true,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.633,0.327,0,-3.599,1,0.0386,0.831,0.0000304,0.114,0.57,127.853,4
spotify:track:73JMkaIiIzulLQTkJDWElb,"Flying Car","Flying Car","Headhaunter",2018-01-13,151144,30,false,,1970-01-01T00:00:00Z,"","Off The Jump",0.741,0.711,7,-9.417,1,0.315,0.647,0,0.0824,0.786,88.97,4
spotify:track:32JZFkClwxLNqBaaCHlH94,"Sunshine","Nice Colors","khai dreams;Atwood",2018-05-17,166942,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.866,0.655,9,-5.965,1,0.286,0.59,0,0.139,0.469,106.029,4
spotify:track:1tD8J13a74q8fBqXwAP50j,"Sunkissed","Now and Then","khai dreams",2019-10-11,126464,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.766,0.354,6,-9.486,1,0.0543,0.595,0,0.381,0.792,153.902,4
spotify:track:2BvR9hPsT7QoyiQBNuZYyW,"Applesauce","Applesauce","sam.sts",2019-10-18,201610,0,false,,1970-01-01T00:00:00Z,"bedroom pop","WILDER",0.681,0.552,0,-8.913,1,0.156,0.41,0,0.207,0.876,124.686,4
spotify:track:5gnXBMxKJv80r429mJYLl6,"Travels","Nice Colors","khai dreams;Atwood",2018-05-17,173121,0,true,,1970-01-01T00:00:00Z,"","Khai Dreams",0.797,0.842,7,-4.37,1,0.398,0.536,0,0.103,0.662,90.118,4
spotify:track:561jH07mF1jHuk7KlaeF0s,"Mockingbird","Encore (Deluxe Version)","Eminem",2004-11-12,250760,88,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
spotify:track:4SE4yewyGpOYfxfx59Yjc5,"Cinderella Man","Recovery","Eminem",2010-06-18,279013,69,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.679,0.908,8,-3.411,1,0.202,0.234,0,0.0821,0.687,85.918,4
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210328,85,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
spotify:track:4KOSQe97KsmMznSrJYkfGq,"Find My Way","Nice Colors","khai dreams;Atwood",2018-05-17,164017,0,true,,1970-01-01T00:00:00Z,"","Khai Dreams",0.866,0.67,9,-6.139,0,0.242,0.348,0,0.1,0.519,98.007,4
spotify:track:5mkRGTbm3BwPzNQL9oBV9e,"Lost in You","Lost in You","khai dreams",2017-09-08,101000,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.771,0.607,5,-12.02,0,0.113,0.336,0,0.122,0.79,90.039,4
spotify:track:78cIbVjU1xn7mbQ9i35avl,"i think you're really cool","i think you're really cool","guardin",2018-05-08,160660,0,false,,1970-01-01T00:00:00Z,"emo rap","Photo Finish Records",0.503,0.446,5,-6.279,1,0.0547,0.904,0,0.303,0.476,174.062,4
spotify:track:451GvHwY99NKV4zdKPRWmv,"Banana Pancakes","In Between Dreams","Jack Johnson",2005-01-01,191906,74,false,,1970-01-01T00:00:00Z,"surf rock","Jack Johnson",0.816,0.375,7,-8.053,1,0.0996,0.607,0.00000866,0.0933,0.615,114.303,4
spotify:track:5eGEc27nnhtmcOh6RC890a,"Kill You","The Marshall Mathers LP","Eminem",2000-05-23,264400,72,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.897,0.559,11,-8.268,1,0.379,0.155,0.000127,0.296,0.677,106.991,4
spotify:track:1gewwJHPkvysxLEGgOKQuB,"Why Not Me","Warm","Forrest.;Biskwiq",2018-07-01,195000,49,false,,1970-01-01T00:00:00Z,"","Houseboat",0.905,0.721,7,-6.922,1,0.31,0.48,0,0.528,0.695,145.958,4
spotify:track:3CGAqoFwTRCC9Y8NLZCbPH,"Butterflies","Butterflies","Samsa",2017-05-16,199209,45,true,,1970-01-01T00:00:00Z,"","2020 Samsa, under exclusive license to an Atlanta Music Company, LLC",0.581,0.727,1,-11.363,1,0.42,0.288,0.0000297,0.1,0.92,90.556,4
spotify:track:0sE5n8rvPsPD7LfS1HXuOg,"Tinder Samurai","Tinder Samurai","Samsa",2017-08-07,144871,38,true,,1970-01-01T00:00:00Z,"","2020 Samsa, under exclusive license to an Atlanta Music Company, LLC",0.688,0.609,5,-14.291,0,0.391,0.647,0,0.291,0.793,86.246,4
spotify:track:33MpATo5CCG2ennj6LAlYq,"Speedom (Wwc2)","Special Effects","Tech N9ne;Eminem;Krizz Kaliko",2015-05-04,295306,52,true,,1970-01-01T00:00:00Z,"horrorcore,rap,hip hop,country hip hop","Strange Music, Inc",0.708,0.934,10,-3.512,0,0.133,0.11,0,0.27,0.736,130.091,4
spotify:track:2JEFO5K6H1XjdCEurzU58Q,"Cash","Constellations 1","love-sadKID;Dahm.;Gould",2017-12-23,148845,0,false,,1970-01-01T00:00:00Z,"","Love-Sadkid",0.806,0.646,1,-9.252,0,0.373,0.0594,0,0.413,0.777,149.857,4
spotify:track:0afhq8XCExXpqazXczTSve,"Galway Girl","÷ (Deluxe)","Ed Sheeran",2017-03-03,170826,82,false,,1970-01-01T00:00:00Z,"soft pop","Atlantic Records UK",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4
spotify:track:6gQUbFwwdYXlKdmqRoWKJe,"Dude (Looks Like A Lady)","Permanent Vacation","Aerosmith",1987-01-01,265773,70,false,,1970-01-01T00:00:00Z,"classic rock,rock","Aerosmith P&D - Geffen",0.54,0.982,4,-2.962,0,0.0458,0.435,0.0000337,0.0457,0.91,126.294,4
spotify:track:43GS3mtezoIFiuIZCLLiDY,"Every Rose Has Its Thorn - 2003 Remaster","Open Up And Say...Ahh! (20th Anniversary Edition)","Poison",1988-03-21,260173,72,false,,1970-01-01T00:00:00Z,"glam metal,glam rock","Capitol Records",0.531,0.632,6,-5.557,1,0.0312,0.16,0.0000114,0.364,0.294,140.176,4
spotify:track:13xVnZKZDEGbmXkzBFpJDD,"Silver Lining","Mt. Joy","Mt. Joy",2018-03-02,199827,76,false,,1970-01-01T00:00:00Z,"","Dualtone Music Group",0.486,0.638,0,-6.231,1,0.0323,0.000921,0,0.078,0.178,144.458,4
spotify:track:5sJGv54fLig0JCNp5MS69R,"Pale Kid Raps Faster","Fast as Hell Though EP","Mac Lethal",2011-03-08,94341,31,true,,1970-01-01T00:00:00Z,"underground hip hop","Black Clover Records",0.792,0.787,5,-9.268,1,0.115,0.865,0.425,0.099,0.889,165.341,4
spotify:track:225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack","Armageddon - The Album","Aerosmith",1998-06-23,298760,76,false,,1970-01-01T00:00:00Z,"classic rock,rock","Columbia/Sony Music Soundtrax",0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,4
spotify:track:3w2XvjXhad650YgM7XxeGO,"Time to Time","Time to Time","khai dreams",2017-12-28,133894,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.528,0.161,11,-16.466,1,0.162,0.921,0,0.108,0.807,125.271,5
spotify:track:5MxNLUsfh7uzROypsoO5qe,"Dream On","Aerosmith","Aerosmith",1973-01-05,266960,8,false,,1970-01-01T00:00:00Z,"classic rock,rock","Columbia",0.307,0.433,1,-10.057,1,0.029,0.388,0.0000908,0.332,0.224,160.9,4
spotify:track:3TRFq09DUgYj1mug6RRqJW,"Lot to Learn","TMRW","Luke Christopher",2015-09-11,248337,56,true,,1970-01-01T00:00:00Z,"","ByStorm Entertainment/RCA Records",0.405,0.846,6,-3.57,1,0.195,0.0948,0,0.0666,0.602,82.232,4
spotify:track:4yGfpoEFOBW8tfM2Rgl57y,"My Room","My Room","Forrest.",2019-02-09,214218,36,false,,1970-01-01T00:00:00Z,"","Houseboat",0.83,0.61,9,-7.269,0,0.273,0.24,0,0.133,0.781,127.949,4
spotify:track:6kOvq3AnVsMCRSSr2VV5P9,"Superlative Heroes","Superlative Heroes","Samsa;Headhaunter",2017-07-05,133815,34,true,,1970-01-01T00:00:00Z,"","2020 Samsa, under exclusive license to An Atlanta Music Company",0.694,0.603,0,-12.05,1,0.246,0.577,0,0.159,0.961,82.966,4
spotify:track:0Uh4Hbg0iol0sM4Fc4kweA,"Questions","Nice Colors","khai dreams;Atwood",2018-05-17,116468,0,true,,1970-01-01T00:00:00Z,"","Khai Dreams",0.65,0.534,9,-9.316,1,0.53,0.644,0,0.153,0.465,115.03,4
spotify:track:1HR2CTi0ytRJIcik1QKdOa,"Beautiful","Relapse: Refill","Eminem",2009-05-15,392826,73,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.727,0.696,5,-4.472,0,0.0706,0.251,0,0.0726,0.467,132.077,4
spotify:track:0uprnSOTzZEvuXC04hrU7y,"That Girl","That Girl","love-sadKID;Elijah Who",2017-04-29,139815,0,false,,1970-01-01T00:00:00Z,"lo-fi,lo-fi beats,lo-fi hip hop","Love-Sadkid",0.68,0.444,8,-11.122,1,0.544,0.682,0,0.332,0.624,69.904,4
spotify:track:45iMRHmfLZu3yjdZ8P5e3t,"Weak","What Everyone's Thinking","AJR",2016-09-16,202193,1,false,,1970-01-01T00:00:00Z,"","AJR Productions",0.672,0.642,5,-4.552,1,0.0461,0.127,0,0.137,0.656,123.984,4
spotify:track:0FE9t6xYkqWXU2ahLh6D8X,"Shape of You","Shape of You","Ed Sheeran",2017-01-06,233712,6,false,,1970-01-01T00:00:00Z,"soft pop","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
spotify:track:4iTyf5pLZMOR8YrEZgSopo,"Believe","Revival","Eminem",2017-12-15,315346,52,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.884,0.492,1,-5.343,0,0.112,0.16,0,0.359,0.11,130.072,4
spotify:track:5RBVNTvCrdB7Cns1Nq5NkB,"Fly Away","Fly Away","khai dreams;Matt Jordan;Atwood",2019-04-02,115384,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.846,0.526,8,-7.469,1,0.0688,0.4,0,0.2,0.668,104.097,4
spotify:track:0QMCxc6dP8ObzoJExJd5oc,"Fantasy","Summer Is Like a Dream","khai dreams",2017-08-26,170666,0,false,,1970-01-01T00:00:00Z,"","Khai Dreams",0.35,0.429,7,-13.14,1,0.131,0.712,0,0.307,0.207,169.901,4
